사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-01,2호선,0235,문래,5,1,3582,1812,10776,10449,41022,29860,46229,123099,27486,57778,20796,24398,20701,21868,23974,22185,25936,24440,25937,23394,27232,23899,32161,26363,50157,31396,101142,49225,40383,42407,27197,23002,26299,20452,21125,18666,9920,12686,1557,4246,14,117,1,1,0,0
2020-01,2호선,0236,영등포구청,34,3,5070,2641,12160,11232,40854,31908,49782,118922,31533,53673,24485,27860,26038,25588,27859,26034,30499,29352,31187,28665,31681,28783,36151,30581,50746,36209,102124,56202,39650,42765,29833,24918,28806,22716,22994,21627,10049,15166,1668,5582,10,244,0,4,0,0
2020-01,2호선,0237,당산,25,1,5944,3125,16394,13688,44121,25327,60965,83949,36644,41036,25842,22919,25892,21786,26252,22066,26807,25139,25029,25407,25922,27734,28828,32495,42618,42750,66782,71652,33742,56955,22931,35666,22909,34686,19895,33703,10639,22345,1640,5963,17,266,0,3,0,0
2020-01,2호선,0238,합정,136,2,9186,2643,17030,14953,42456,33660,56488,98933,37882,71344,29944,46579,32389,45015,36869,52182,41971,59231,43363,56252,48897,54971,58063,63333,74703,78209,117313,113762,75526,91888,62269,47028,73708,36898,70577,32838,38358,23420,6515,8425,64,322,0,5,0,0
2020-01,2호선,0239,홍대입구,1718,28,38358,3941,35718,18815,66585,34086,85423,106984,67037,124852,63633,96961,74564,121480,83645,157846,95789,181473,102168,176360,122233,179626,147929,189366,180622,211847,215475,265759,176544,215161,170048,123185,206236,97238,226198,78303,125826,58673,16246,21334,235,2123,0,23,0,0
2020-01,2호선,0240,신촌,155,5,10148,3179,15228,14718,36635,36129,53863,88253,39847,110754,40808,73225,50632,73474,63895,78576,72265,93202,71029,78941,82387,75838,95549,80330,112885,96144,115402,135857,85416,103066,85948,54037,94271,43865,101149,39405,52494,29263,7954,8690,63,194,0,4,0,0
2020-01,2호선,0241,이대,38,1,2790,1422,6275,11973,16984,12370,25583,38158,17563,38527,14710,31098,19657,29512,27642,36035,28780,33283,29348,30723,36498,30127,43265,29402,49630,28408,42048,35533,27885,28153,21787,17607,21967,16094,18027,15824,6031,12624,861,3666,10,129,0,4,0,0
2020-01,2호선,0242,아현,27,2,4070,1067,9219,6934,25172,8100,36713,16552,23303,13319,17136,10429,16842,9570,17994,11856,16868,12860,16121,13499,15803,15395,17441,17956,19522,21143,20758,30289,12161,26062,8568,17356,7275,17072,4659,16413,2386,11589,366,3111,4,103,0,1,0,0
2020-01,2호선,0243,충정로(경기대입구),22,3,3389,923,6537,5301,15708,13749,23355,66188,16141,32610,12638,14251,13685,11479,13516,11497,15377,13379,14746,12990,15136,13243,17187,14209,23061,16482,54400,23421,18216,17973,12209,12211,11505,11916,8496,11367,3765,8317,647,2318,4,128,0,1,0,0
2020-01,2호선,0244,용답,3,0,2284,250,2931,832,7216,1361,12647,2994,6637,2181,4525,1867,4280,2202,4520,2947,4852,3437,4316,3592,3959,4314,4039,5568,4343,6132,3967,10111,2413,7656,1720,4745,1304,5768,1007,5233,554,3824,109,1141,0,9,0,0,0,0
2020-01,2호선,0245,신답,1,0,932,39,1842,563,6195,874,10626,1850,4118,1070,2366,977,2090,1204,2213,1481,2187,1652,1956,2005,1753,2664,1857,3319,1860,3946,2163,8800,1199,7097,701,3402,561,3977,511,2820,180,2292,45,654,0,6,0,0,0,0
2020-01,2호선,0246,신설동,16,1,1050,370,1284,1744,2847,5924,5980,14358,4241,10841,4352,8627,5763,8134,7034,8136,7964,8247,9310,8093,10501,7068,11650,5877,12869,5498,16079,5853,6702,4827,3762,3286,3072,3122,2329,2713,836,2030,129,689,1,118,0,1,0,0
2020-01,2호선,0247,도림천,0,0,339,347,984,788,2674,2711,3437,5376,2069,2085,1838,1456,1683,1426,2278,2178,1814,1316,1819,1748,2241,1548,2320,1828,2864,2059,3327,2829,1859,2573,871,1639,819,1463,412,1274,215,1064,23,348,2,6,0,0,0,0
2020-01,2호선,0248,양천구청,16,0,4672,949,10464,2054,31158,4698,29660,10142,17541,5974,12656,5615,11945,5677,11905,7179,11242,8602,10021,9186,9236,11261,10053,13087,10467,17229,10829,28250,4716,26256,3353,16176,2734,14138,2416,13915,966,11242,165,3656,3,90,0,1,0,0
2020-01,2호선,0249,신정네거리,58,1,7373,1377,12403,7378,40239,4963,38564,11287,23109,8463,16935,7767,15414,8619,15620,9827,14878,11754,13348,12866,12771,15597,14590,19081,17282,24536,13945,40805,8218,33425,5943,21750,4733,17302,4053,17200,1906,12457,339,3323,6,313,0,0,0,0
2020-01,2호선,0250,용두(동대문구청),9,0,945,146,1385,963,4720,2093,7855,6378,4120,3912,3291,3399,3701,4240,4289,3999,4804,4821,4971,5122,5278,5120,5316,4705,5310,4718,5987,7450,3048,6232,2344,3244,1902,3033,1250,2401,466,1831,79,524,1,14,0,0,0,0
2020-01,3호선,0309,지축,4,0,577,314,2798,1425,8007,2267,9151,2169,5258,1430,3750,1465,3257,1780,3368,2046,3350,2252,2798,2650,3063,3254,3445,4177,3713,4455,2675,7907,1239,6822,836,4768,603,4070,382,3739,209,2201,55,534,1,1,0,0,0,0
2020-01,3호선,0310,구파발,131,10,9087,1463,27759,8712,85719,18856,86085,26281,45782,26082,32508,26349,31047,24474,32912,26972,32853,29159,31492,31141,33410,31114,36009,36760,39416,42176,37232,68148,23444,66194,18885,38316,16642,34797,14117,31426,4775,23393,779,8131,7,286,0,3,0,0
2020-01,3호선,0311,연신내,277,24,24985,2154,47069,11980,132452,18341,166905,35518,96064,40858,67442,38064,62083,39506,69431,46058,67706,52322,61543,55824,60252,64726,64051,75960,63317,92099,58244,141335,41311,138548,33332,80884,31726,74505,28504,69072,15101,46876,2705,15557,21,142,0,0,0,0
2020-01,3호선,0312,불광,35,1,8656,978,17296,5797,49435,8935,62901,30909,35783,30289,26832,26955,26789,25619,27336,28059,29493,33162,28860,33514,30232,33910,31946,37646,32809,42582,34845,61197,20039,51840,15809,31443,14168,27801,10420,25260,4554,17240,759,5561,2,35,0,0,0,0
2020-01,3호선,0313,녹번,13,2,7947,1135,19100,9722,54883,7058,66768,17982,38292,10449,24749,9241,22131,9229,21317,11151,20483,13268,18187,14099,17225,17032,18961,21887,20578,27336,20557,45446,9980,43574,6982,26905,6159,25314,4572,23257,2051,15132,283,4486,5,14,0,2,0,0
2020-01,3호선,0314,홍제,58,2,7893,1389,19472,7774,57109,10384,73255,23589,46043,18136,32965,17047,31338,17246,32589,20490,31783,23982,29058,24760,28510,30170,29114,34592,31022,41539,30073,61303,16550,54740,12046,33664,10224,31108,7738,28289,3523,18292,547,5208,4,33,0,0,0,0
2020-01,3호선,0315,무악재,24,0,1746,236,4383,1565,14357,2703,17496,5043,10937,3529,7978,3604,6876,3589,6784,4059,6432,4820,5506,5312,5157,6529,5497,7686,5923,9460,6828,14182,3300,13605,2393,8772,2001,8068,1356,8051,604,5427,130,1520,3,12,0,0,0,0
2020-01,3호선,0316,독립문,111,2,4574,692,5971,4249,15266,8777,20585,19326,15510,15155,13022,14647,12836,11965,15907,12123,15402,13902,15430,12900,15882,13092,15515,13447,16248,15050,16709,19073,8234,15952,6159,10416,4881,9279,3658,9168,1248,6274,203,2589,3,886,0,0,0,0
2020-01,3호선,0317,경복궁(정부서울청사),98,1,2694,1474,5681,12136,13708,33977,20754,116915,21891,62188,18734,50719,23881,49721,29781,47171,38547,49734,44423,42716,53405,36059,63764,30459,74714,29761,106948,35838,42669,25989,33170,14367,38742,12179,23953,11890,9791,7426,1587,2287,3,65,0,0,0,0
2020-01,3호선,0318,안국,40,2,1726,2109,3221,18483,5757,82014,8855,113771,9575,69746,12311,53406,19810,58196,29009,53392,34959,50800,43799,48114,53817,38597,63978,32229,109346,27963,123783,25873,53159,14652,41401,8177,37631,6578,22708,6779,7665,3793,999,1174,6,9,0,0,0,0
2020-01,3호선,0319,종로3가,15,2,833,749,1379,4875,1922,13420,2966,50311,4614,50234,7131,34394,10325,29112,12087,30514,13795,28375,17333,29147,22681,26338,24555,21548,32343,20682,55460,21447,39418,13150,20960,6356,21437,4787,16895,3957,7527,2813,952,951,11,22,0,0,0,0
2020-01,3호선,0320,을지로3가,7,0,501,879,1151,7840,2022,30430,3579,80850,6290,39223,9028,19680,11141,16550,11369,15524,13963,16441,15940,15060,18103,13859,20744,14505,35745,15504,69979,17936,32105,10777,21087,5008,19845,3829,15712,2905,8363,2119,1448,519,7,9,0,1,0,0
2020-01,3호선,0321,충무로,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,1,0,2,0,1,0,3,0,2,0,3,0,7,0,2,0,3,0,3,0,2,0,3,0,0,0,0,0,0,0
2020-01,3호선,0322,동대입구,9,4,1412,1101,2384,7681,4760,19222,8457,57030,6800,31870,6873,25328,8877,22889,11256,18843,14826,20500,15471,17439,18389,14063,21703,13424,37664,15961,44942,17369,23276,10292,24262,5983,16193,5416,12827,4644,4255,3304,477,1323,2,110,0,0,0,0
2020-01,3호선,0323,약수,88,1,5448,1039,9533,5220,22711,9966,41408,33857,28783,23674,20026,17153,20256,16036,22204,16372,23836,18053,22096,19294,21991,20605,23257,23168,26521,29156,35352,43058,20997,31902,16573,20539,15846,19277,12819,17596,6416,11477,1163,4406,9,773,0,0,0,0
2020-01,3호선,0324,금호,37,9,4252,565,9110,2671,24734,4339,38348,8424,25257,7273,16184,6559,14524,7204,13928,8944,13831,10630,11980,11332,12131,13641,12040,16071,13117,20626,12893,30275,8599,24423,6527,16918,5321,15069,4046,14239,2011,8726,377,2748,2,25,0,0,0,0
2020-01,3호선,0325,옥수,158,12,2893,1077,8316,3920,22711,6333,34948,15416,23070,11650,15909,8809,15740,10294,15497,11773,16211,13493,15281,14100,15267,16414,15570,19026,18060,23461,18966,35034,11763,27933,8914,19022,8185,17318,5723,16971,2661,9785,486,2679,3,20,0,0,0,0
2020-01,3호선,0326,압구정,45,1,3165,1989,8577,20730,15314,43485,27420,150257,20730,163194,26188,81825,35360,72855,41639,58937,47597,65472,58081,59404,66634,56541,74496,53783,91914,60870,147349,69848,106922,44384,82382,19750,62176,15415,48757,12693,18366,7739,2199,2988,11,360,0,6,0,0
2020-01,3호선,0327,신사,87,11,4732,1526,6752,19003,11504,42799,19681,115131,17898,136145,19682,73163,26650,56279,33158,59537,40903,65648,48827,63730,58331,59388,68234,58937,91951,65572,145239,85687,106968,54600,73613,23936,78715,17328,68417,13340,30815,9884,4120,3737,14,29,0,0,0,0
